Date,Temperature [°C],Relative Humidity [%],Solar Radiation [W/m2],Power [kW],Power-1 [kW],Hour,DayOfWeek,XGB Predicted Power [kW],GB Predicted Power [kW],Linear Predicted Power [kW],Neural Predicted Power [kW],Decision Tree Predicted Power [kW],Random Forest Predicted Power [kW],Bootstrapping Predicted Power [kW]
2019-02-26 15:00:00,18.87333333,29.98333333,331.05,268.902,272.083,15,1,269.51117,272.24790605578625,275.82382190451733,275.8238219045173,266.2085,268.11449956155883,266.6029
2019-02-26 16:00:00,18.63333333,29.82083333,155.1583333,265.403,268.902,16,1,260.0703,258.83952450998544,260.2965305310787,260.2965305310787,268.7205714285714,266.2096224489631,266.8633
2019-02-26 17:00:00,18.1,32.27083333,86.83833333,210.478,265.403,17,1,222.0234,209.90814110402644,204.69426114815585,204.69426114815593,205.96833333333333,205.9458779953706,209.56810000000002
2019-02-26 18:00:00,17.40416667,34.58,8.283666667,188.932,210.478,18,1,180.00801,183.49049328523742,187.34875407177384,187.34875407177384,189.55342857142858,185.90513520322804,188.9552
2019-02-26 19:00:00,16.83666667,39.34333333,1.148916667,145.324,188.932,19,1,144.44751,141.7934825847932,141.70338308087472,141.70338308087474,145.65374999999997,145.1528252943602,144.8188
2019-02-26 20:00:00,14.98916667,59.1,2.641666667,100.548,145.324,20,1,104.17902,105.78522346401324,107.52116252490953,107.52116252490953,102.858,104.50159272837814,103.1955
2019-02-26 21:00:00,14.5675,62.0975,3.024916667,75.909,100.548,21,1,72.82556,73.59600286565471,74.62531928736973,74.6253192873697,73.68611111111112,74.68683940106978,75.7735
2019-02-26 22:00:00,14.4175,56.5175,2.21975,67.691,75.909,22,1,59.079967,59.1201729321087,59.730329523487306,59.73032952348725,68.2402,65.88615620544621,66.0581
2019-02-26 23:00:00,13.73083333,62.89333333,4.079916667,62.549,67.691,23,1,59.00526,58.70663640328042,58.96049282326744,58.960492823267366,60.491600000000005,60.9094844877433,62.064099999999996
2019-02-27 00:00:00,13.58416667,62.23416667,3.288666667,56.977,62.549,0,2,61.918655,57.84238673929964,55.51187008709536,55.51187008709559,56.30274999999999,56.132765375672186,56.257600000000004
2019-02-27 01:00:00,13.37333333,60.79333333,4.55325,53.872,56.977,1,2,63.38276,56.51215561403406,52.54429833356675,52.544298333566964,54.60757142857143,54.66389941783102,54.103899999999996
2019-02-27 02:00:00,13.055,60.3525,4.317833333,52.645,53.872,2,2,52.86649,52.10211444688136,51.65343483603293,51.65343483603311,52.318999999999996,52.554274532340486,52.1726
2019-02-27 03:00:00,12.65333333,64.03,3.584083333,52.45,52.645,3,2,52.341324,52.22199325950498,52.063260975706555,52.06326097570671,51.465166666666676,51.770278682580475,52.5159
2019-02-27 04:00:00,12.23083333,66.53333333,3.74775,51.44,52.45,4,2,52.505913,52.24014496286889,51.91456361439908,51.91456361439923,51.465166666666676,51.694029050572716,51.754200000000004
2019-02-27 05:00:00,11.7475,69.56833333,4.1705,65.044,51.44,5,2,53.367695,55.142764068528145,55.93510574451882,55.93510574451895,61.662400000000005,61.36733405548639,63.662099999999995
2019-02-27 06:00:00,11.9825,70.53,3.854583333,59.437,65.044,6,2,65.293816,61.62938588985967,59.295556298387055,59.2955562983872,60.831999999999994,60.76998020785612,60.577
2019-02-27 07:00:00,11.62,73.85,39.56016667,98.314,59.437,7,2,96.93665,105.55956131620044,110.57908447537075,110.57908447537078,102.858,101.85228099512072,100.60669999999999
2019-02-27 08:00:00,11.98416667,70.76416667,131.1091667,139.748,98.314,8,2,145.11212,137.4727194023444,133.06222217077482,133.06222217077487,139.753,137.76083298275998,139.4666
2019-02-27 09:00:00,13.3025,65.43916667,252.1333333,163.064,139.748,9,2,183.8223,179.85710030972066,177.87080733247043,177.87080733247046,154.93659999999997,162.22148863339913,158.263
2019-02-27 10:00:00,14.85333333,61.57416667,369.9333333,230.916,163.064,10,2,222.869,221.75399994671662,221.76651578109087,221.76651578109085,228.1444,227.1557710371336,229.27870000000001
2019-02-27 11:00:00,14.93166667,59.6125,476.875,300.196,230.916,11,2,261.66498,269.3849378359286,274.6175257069041,274.61752570690396,283.81185714285715,282.3405229317163,294.5988
2019-02-27 12:00:00,16.30166667,57.36833333,526.725,272.452,300.196,12,2,283.40988,283.1501500337234,283.8363830636906,283.83638306369056,272.528,274.8516671193953,271.35560000000004
2019-02-27 13:00:00,16.78583333,56.9225,576.9,268.624,272.452,13,2,267.8565,271.9561070499675,275.1780347153119,275.1780347153118,263.2896,266.0994512990312,266.724
2019-02-27 14:00:00,16.14333333,59.74583333,178.0233333,278.114,268.624,14,2,266.14322,272.7041213497647,277.9593530652577,277.9593530652577,283.12137499999994,279.0955043389273,279.7755
2019-02-27 15:00:00,15.56666667,64.85416667,199.7208333,286.608,278.114,15,2,280.22894,281.55688214605334,283.6172460950593,283.6172460950593,285.96762500000006,286.280437466886,286.77740000000006
2019-02-27 16:00:00,15.89416667,60.76666667,149.25,273.85,286.608,16,2,280.19012,278.4230505153916,278.83598698786886,278.83598698786886,276.38680000000005,277.7285534143677,274.7948
2019-02-27 17:00:00,15.25166667,58.2925,88.16,213.158,273.85,17,2,238.19727,227.56330282569942,222.51945828614777,222.51945828614788,225.1066,217.13993185551828,215.52729999999997
2019-02-27 18:00:00,14.10833333,61.7675,8.524416667,187.205,213.158,18,2,179.1506,183.6510348034181,187.21988697387334,187.21988697387337,189.55342857142858,185.85360011944596,186.4613
2019-02-27 19:00:00,13.18583333,56.1475,2.655333333,148.506,187.205,19,2,141.85773,141.7934825847932,142.40635917904032,142.40635917904035,145.65374999999997,145.64239224477848,147.9022
2019-02-27 20:00:00,12.46166667,58.415,2.591333333,102.627,148.506,20,2,104.20226,105.82056654448486,107.12529121999955,107.12529121999955,102.858,105.35641200872115,105.87109999999998
2019-02-27 21:00:00,12.13666667,59.52333333,2.654333333,77.224,102.627,21,2,72.82556,73.59600286565471,74.22680271725761,74.22680271725758,73.68611111111112,74.56851790280619,75.0425
2019-02-27 22:00:00,12.06833333,62.495,3.73475,61.826,77.224,22,2,59.896145,59.1201729321087,58.76425553853787,58.76425553853781,57.647000000000006,59.101375753254864,61.00670000000001
2019-02-27 23:00:00,11.83416667,64.54333333,3.748916667,55.775,61.826,23,2,57.0064,57.423526772907756,57.73765402806043,57.73765402806034,56.30274999999999,56.09800490110919,56.589999999999996
2019-02-28 00:00:00,11.46916667,67.77916667,3.780333333,52.403,55.775,0,3,54.218075,53.58584457060254,52.812404064488724,52.81240406448893,53.357000000000006,53.11342770691287,52.5782
2019-02-28 01:00:00,11.21166667,71.19166667,4.429,48.762,52.403,1,3,52.341324,52.061619271642435,51.42314601859951,51.423146018599695,49.7712857142857,49.78847077522712,48.7784
2019-02-28 02:00:00,10.93166667,72.63333333,4.486583333,47.853,48.762,2,3,49.471764,49.55292049314531,49.06895051769003,49.0689505176902,47.4222,47.700406292544315,47.6457
